"Tanggal","temp_avg","hum_avg","wind_avg","rainfall","sunshine"
"12-02-2014","26.6","87","2","0","3.6"
"13-02-2014","27","81","2","0","7.4"
"14-02-2014","26.3","84","2","0","4.8"
"15-02-2014","24.8","86","3","1.2","0.1"
"16-02-2014","25","85","2","0","4.4"
"17-02-2014","25.7","84","2","2.5","5.3"
"18-02-2014","25.6","88","3","0.3","1.8"
"19-02-2014","25.9","84","2","0","5.4"
"20-02-2014","26.3","80","3","0","7.6"
"21-02-2014","24.3","94","2","13.5","0.2"
"22-02-2014","23.2","97","2","29","0"
"23-02-2014","24.3","91","2","41","4.1"
"24-02-2014","22.9","95","3","19.1","0.1"
"25-02-2014","24.8","91","2","29.1","0.6"
"26-02-2014","23.5","96","2","35.2","0"
"27-02-2014","24.5","90","1","4.1","1.1"
"28-02-2014","25","85","2","1.5","2.6"
"01-03-2014","25","89","2","9.7","4.5"
"02-03-2014","26.3","84","2","30.4","6.8"
"03-03-2014","26.6","82","2","0.6","6.6"
"04-03-2014","26.7","80","2","1.9","7.8"
"05-03-2014","25.1","88","2","0","3.1"
"06-03-2014","25","85","2","10.4","3.9"
"07-03-2014","25.6","90","2","2.6","1.3"
"08-03-2014","25.9","87","2","56.4","4.9"
"09-03-2014","26","88","2","1.2","3.3"
"10-03-2014","25.1","90","2","0.1","0"
"11-03-2014","25.2","90","2","2.1","0"
"12-03-2014","24.5","88","2","0","0.1"
"13-03-2014","25.1","86","2","0","3"
"14-03-2014","25.9","88","2","1.9","3"
"15-03-2014","26.2","82","2","0","4.7"
"16-03-2014","25.1","90","3","0","5.6"
"17-03-2014","24.6","94","2","23.2","3.7"
"18-03-2014","25.3","88","2","21.8","6.5"
"19-03-2014","25.5","87","2","7.8","5.2"
"20-03-2014","25.2","88","2","18.9","6.3"
"21-03-2014","25.2","86","2","23.4","3.7"
"22-03-2014","26","85","2","2.7","4.1"
"23-03-2014","24.8","92","2","0","0.5"
"24-03-2014","25.1","89","1","6.5","4.7"
"25-03-2014","26","88","2","3.3","2"
"26-03-2014","25.8","87","3","0","1"
"27-03-2014","25.7","86","2","0","6"
"28-03-2014","25.4","88","2","24.6","6"
"29-03-2014","25.9","83","3","24.4","5.8"
"30-03-2014","26.3","85","3","7.5","6.3"
"31-03-2014","26.3","84","2","0","6.2"
"01-04-2014","26.1","87","3","6.3","5.3"
"02-04-2014","25.7","88","2","13","6.5"
"03-04-2014","26.5","84","2","3.8","7.1"
"04-04-2014","26.4","84","2","0.3","4.8"
"05-04-2014","25.9","87","2","0.6","7.3"
"06-04-2014","25.9","86","3","169.1","5.9"
"07-04-2014","25.4","86","3","6.7","6"
"08-04-2014","27.4","80","2","0","5.1"
"09-04-2014","25.9","84","2","0","6.8"
"10-04-2014","25.6","84","3","1.5","2.5"
"11-04-2014","26.1","83","2","1.4","5.2"
"12-04-2014","26.8","81","2","1.6","4.6"
"13-04-2014","25.9","83","2","0","4.6"
"14-04-2014","25.2","88","2","1.3","4.2"
"15-04-2014","26.6","81","2","6.6","4.1"
"16-04-2014","25.9","84","2","0","4.9"
"17-04-2014","26","85","2","10.6","5.9"
"18-04-2014","25.7","86","2","61.7","4.7"
"19-04-2014","26.4","88","2","52.1","5.6"
"20-04-2014","25.6","84","2","11.4","6.4"
"21-04-2014","26.5","87","2","0.7","3.8"
"22-04-2014","25.8","86","2","4.5","5.9"
"23-04-2014","25.7","86","2","30","6.9"
"24-04-2014","28.1","78","2","1.5","8"
"25-04-2014","27.8","79","2","0","8"
"26-04-2014","26.8","85","3","1","6.2"
"27-04-2014","25.9","88","2","31.7","6"
"28-04-2014","26.6","83","2","35.3","7"
"29-04-2014","25.9","88","2","7.8","6.4"
"30-04-2014","25.8","87","2","50.4","7"
"01-05-2014","25.9","87","3","3.6","5.3"
"02-05-2014","26.4","84","2","3","7.4"
"03-05-2014","26.3","86","2","4.2","6.5"
"04-05-2014","26.7","85","3","1.4","5.1"
"05-05-2014","27.1","81","2","0","6.8"
"06-05-2014","27","82","2","0","5"
"07-05-2014","26","85","3","0","6.6"
"08-05-2014","26.7","88","2","42.1","3"
"09-05-2014","26.3","86","2","29","8"
"10-05-2014","26.5","88","2","41.4","2.8"
"11-05-2014","27.1","87","2","2","4.5"
"12-05-2014","26.3","86","2","1.6","5.2"
"13-05-2014","26.5","84","2","9.3","7.1"
"14-05-2014","26.5","86","2","15.6","5.8"
"15-05-2014","26","85","2","11","4.5"
"16-05-2014","25.9","84","2","0.3","6"
"17-05-2014","24.8","92","2","28.6","2.6"
"18-05-2014","25.2","87","2","15.8","5.3"
"19-05-2014","25.9","86","2","9.6","5.6"
"20-05-2014","26.2","85","2","19.5","7.7"
"21-05-2014","26.3","85","2","0","7.5"
"22-05-2014","26.3","87","2","8.4","5.9"
"23-05-2014","25.6","84","4","11.7","5.4"
"24-05-2014","26.1","82","0","0","3.6"
"25-05-2014","26.6","81","2","0","8"
"26-05-2014","25.8","89","3","0.3","2.8"
"27-05-2014","26.7","83","2","1","6.4"
"28-05-2014","26.6","90","3","29.3","4.6"
"29-05-2014","27","81","2","7.5","8"
"30-05-2014","25.6","84","3","0","6.5"
"31-05-2014","25.8","86","2","0.2","7"
"01-06-2014","27.1","76","2","0","7.8"
"02-06-2014","26.8","81","2","0","8"
"03-06-2014","26.9","77","2","0","7.9"
"04-06-2014","27.1","79","3","0","6.7"
"05-06-2014","25.9","90","2","0","1"
"06-06-2014","26.9","83","2","6.7","0.7"
"07-06-2014","27.4","79","2","0","8"
"08-06-2014","27.1","78","2","0","8"
"09-06-2014","27.1","79","2","0","7.7"
"10-06-2014","26.4","86","3","0","6.2"
"11-06-2014","27.2","83","2","26.1","7.6"
"12-06-2014","27.3","84","2","0","7.5"
"13-06-2014","26.9","87","0","2.8","4.2"
"14-06-2014","26","85","3","13","5.9"
"15-06-2014","25.3","89","2","2.6","0.8"
"16-06-2014","26.3","83","2","5.1","6.2"
"17-06-2014","27.1","86","2","0","3.8"
"18-06-2014","26.5","80","2","0","6.6"
"19-06-2014","25.8","86","3","4.1","0"
"20-06-2014","26.7","81","2","0","7.7"
"21-06-2014","26.5","83","3","0.1","5.3"
"22-06-2014","26.6","81","2","0","8"
"23-06-2014","25.5","86","2","0","4.8"
"24-06-2014","27","81","2","0","2.2"
"25-06-2014","26.3","85","3","0","4"
"26-06-2014","25.5","85","2","0.2","0"
"27-06-2014","24.9","90","2","0","3.7"
"28-06-2014","25.3","88","2","24","3.3"
"29-06-2014","26.6","82","2","0","6.2"
"30-06-2014","26.3","78","2","0","8"
"01-07-2014","26.4","71","2","0.2","8"
"02-07-2014","25.6","83","3","0","1.2"
"03-07-2014","25.4","81","2","0","6.1"
"04-07-2014","26.4","81","2","0","7.6"
"05-07-2014","26.8","85","2","50.8","3.2"
"06-07-2014","25.8","88","2","24.7","5.4"
"07-07-2014","25.6","84","2","4","5.9"
